Date,Basic Savings,Current Account
2020-01-06,24410.66,6601.70
2020-01-13,24359.00,5666.49
2020-01-20,24359.00,4963.79
2020-01-27,24359.00,12564.01
2020-02-03,24364.16,12543.45
2020-02-10,24364.16,11866.62
2020-02-17,24364.16,10809.37
2020-02-24,24364.16,9085.71
2020-03-01,24364.16,13364.02
2020-03-08,24364.16,12951.71
2020-03-15,24364.16,12480.51
2020-03-22,24358.99,11087.71
2020-03-29,24358.99,15566.87
2020-04-06,24364.15,16162.39
2020-04-13,24364.15,16112.39
2020-04-20,24364.15,14576.13
2020-04-27,24364.15,19034.28
2020-05-03,24369.14,19904.50
2020-05-10,24369.14,19711.89
2020-05-17,24369.14,18238.02
2020-05-24,24369.14,22876.73
2020-05-31,24374.30,22485.60
2020-06-07,24374.30,22923.31
2020-06-14,24374.30,22440.75
2020-06-21,24374.30,20764.80
